Period	Decade	AxisYear	Year	Observed_22_24	Trend_22_24	Observed_24_26	Trend_24_26	Observed_26_28	Trend_26_28	Observed_28_30	Trend_28_30	Observed_30_32	Trend_30_32	Observed_32_34	Trend_32_34	Observed_34_36	Trend_34_36	Observed_36_38	Trend_36_38	Observed_38_40	Trend_38_40	Observed_40_42	Trend_40_42	Observed_42_44	Trend_42_44	Observed_44_46	Trend_44_46	Observed_46_48	Trend_46_48	Observed_Bight	Trend_Bight
301	70	1971	1971	21.12	22.8804	19.4	20.6838	16.73	18.6982	15.28	17.6042	14.45	16.8288	13.43	15.167	12.7	14.1107	11.32	13.241	11.13	12.6425	10.21	11.6417	9.72	11.8303	9.29	11.884	8.32	11.4401	13.81	16.6078
302	70	1971.0833	1971	20.39	22.8787	18.47	20.68	16.21	18.6967	15.34	17.606	14.19	16.8153	13.6	15.1519	12.52	14.1003	11.31	13.2356	10.63	12.6287	9.36	11.6377	9.62	11.8299	9.07	11.8799	8.54	11.4314	13.69	16.595
303	70	1971.167	1971	19.5	22.8745	17.24	20.6722	15.34	18.6913	14.32	17.5914	13.78	16.8022	13.01	15.1279	11.98	14.0872	10.99	13.2278	10.54	12.6189	9.1	11.6398	9.11	11.8288	8.69	11.8741	7.61	11.4181	13.24	16.5785
304	70	1971.25	1971	18.91	22.8698	16.84	20.6703	15.37	18.6931	15.23	17.6001	14.74	16.8077	12.92	15.11	11.89	14.0799	11.11	13.2285	11.15	12.6163	9.63	11.6497	10.11	11.8331	9.85	11.8738	9.46	11.417	14.56	16.5841
305	70	1971.3333	1971	18.69	22.867	16.74	20.6682	15.79	18.6957	15.87	17.6041	15.23	16.8074	13.23	15.0999	11.97	14.0719	11.61	13.2301	11.35	12.6059	9.87	11.6584	11.17	11.8354	11.28	11.8703	11.33	11.4106	14.62	16.5715
306	70	1971.417	1971	20.11	22.8712	17.78	20.6687	16.82	18.7015	16.44	17.6024	16.42	16.8126	14.6	15.0985	13.25	14.071	12.41	13.2302	12.12	12.5982	10.68	11.6718	12.2	11.8378	12.83	11.866	12.85	11.4025	17.02	16.5856
307	70	1971.5	1971	23.48	22.871	20.91	20.6703	19.31	18.7113	18.62	17.6126	17.87	16.8185	15.11	15.0869	14.52	14.0721	13.77	13.2385	12.83	12.589	13.13	11.6979	14.07	11.8444	14.01	11.8639	14.37	11.397	18.7	16.5855
308	70	1971.5833	1971	26.06	22.8763	24.32	20.6826	22.98	18.736	21.98	17.6397	20.94	16.8426	17.44	15.0996	16.41	14.0789	15.91	13.2579	15.71	12.5957	15.38	11.72	16.04	11.8522	16.43	11.8709	15.94	11.3958	20.86	16.5936
309	70	1971.667	1971	27.59	22.8882	26	20.6905	23.6	18.7339	22.06	17.6335	20.19	16.8231	18.65	15.1038	17.1	14.0753	16.43	13.2574	15.83	12.5816	15.11	11.7234	15.32	11.8479	14.8	11.8624	14.56	11.3801	20.47	16.5813
310	70	1971.75	1971	26.46	22.8857	24.36	20.678	21.99	18.716	20.23	17.6093	18.82	16.7954	17.1	15.0717	15.24	14.0514	14.13	13.2321	12.99	12.5501	13.07	11.7163	12.85	11.8366	13.14	11.8557	12.39	11.3671	18.19	16.548
311	70	1971.8333	1971	24.94	22.884	22.44	20.6699	19.37	18.6958	17.44	17.5803	16.04	16.7611	14.64	15.0381	13.45	14.0356	12.77	13.2262	11.85	12.5364	11.82	11.7128	11.22	11.8287	10.68	11.848	10.21	11.3559	15.53	16.5196
312	70	1971.917	1971	22.82	22.8816	20.18	20.6602	17.4	18.6855	15.58	17.5679	14.41	16.7504	13.24	15.0241	11.96	14.027	11.77	13.2281	10.94	12.5288	10.63	11.7136	10.12	11.8262	9.55	11.8469	8.48	11.3482	13.66	16.5059
313	70	1972	1972	21.54	22.8882	19	20.664	16.32	18.6901	14.81	17.5718	14.16	16.7676	12.84	15.0283	11.76	14.0335	11.18	13.2347	10.55	12.5273	9.62	11.7185	9.49	11.8267	9.09	11.8486	7.3	11.345	12.96	16.507
314	70	1972.0833	1972	21.07	22.8959	18.85	20.673	16.37	18.7017	14.72	17.5783	14.12	16.776	12.9	15.031	12.36	14.0456	11.45	13.2485	10.4	12.5256	9.82	11.7305	9.14	11.8279	8.46	11.848	8.24	11.3474	13.27	16.5113
315	70	1972.167	1972	20.44	22.9003	18.26	20.676	16.23	18.7106	15.07	17.5885	14.69	16.7943	13.21	15.0393	12.67	14.0555	12.09	13.2672	10.98	12.5299	10.25	11.7452	9.82	11.8333	9.43	11.8532	9.27	11.3508	14.42	16.5284
316	70	1972.25	1972	20.58	22.9059	17.91	20.6771	16.25	18.7162	15.44	17.5953	15.27	16.8068	13.64	15.0479	12.69	14.062	12.15	13.2788	11.28	12.5332	10.68	11.7597	10.3	11.8375	10.01	11.8554	9.73	11.3468	15.57	16.541
317	70	1972.3333	1972	19.65	22.8991	17.14	20.6694	15.99	18.7135	15.73	17.5993	16.02	16.8207	13.99	15.053	13.11	14.0679	12.13	13.2828	11.34	12.5296	11.03	11.771	11.66	11.8415	12.05	11.8584	11.79	11.3439	16.69	16.5487
318	70	1972.417	1972	21.7	22.9101	19.07	20.6798	17.84	18.7308	17.32	17.6161	17.16	16.8335	14.9	15.0576	14.11	14.0722	13.49	13.2974	12.86	12.535	12.61	11.7863	13.12	11.8444	13.55	11.857	13.12	11.3371	17.44	16.5414
319	70	1972.5	1972	25.43	22.9144	21.76	20.6771	19.6	18.7327	18.95	17.6218	18.87	16.8474	16.22	15.0651	15.34	14.0781	15.12	13.313	14.04	12.5346	13.57	11.7958	13.73	11.8435	13.94	11.8528	14.6	11.332	18.94	16.538
320	70	1972.5833	1972	28.07	22.9157	25.68	20.6928	22.62	18.7499	21.45	17.64	20.59	16.8533	17.55	15.0696	16.12	14.0781	15.57	13.3122	14.41	12.5268	14.25	11.7998	13.98	11.8433	14.49	11.8539	14.17	11.3218	19.38	16.5228
321	70	1972.667	1972	28.24	22.9089	26.09	20.6854	23.22	18.7495	21.93	17.6432	20.82	16.8531	18.01	15.0706	16.93	14.0827	16.08	13.3146	15.32	12.5243	14.23	11.7997	13.82	11.8438	13.96	11.8545	13.3	11.3119	20.24	16.5316
322	70	1972.75	1972	27.75	22.9054	25.32	20.6796	23.17	18.7534	21.08	17.638	20.08	16.8407	18.45	15.0752	18.13	14.0959	16.04	13.3213	14.98	12.5181	13.77	11.7998	13.04	11.8453	12.21	11.8544	11.59	11.3081	19.34	16.5234
323	70	1972.8333	1972	25.77	22.8967	23.84	20.675	21.78	18.751	19.72	17.6334	17.89	16.817	16.23	15.0527	15.39	14.0734	14.54	13.3135	13.8	12.5075	12.79	11.7946	12.48	11.8475	11.7	11.8625	10.51	11.3104	17.59	16.5111
324	70	1972.917	1972	24.96	22.9013	23.31	20.68	21.3	18.7572	19.17	17.639	16.86	16.8095	14.79	15.0357	14.52	14.0667	12.91	13.3014	12.03	12.4924	11.02	11.7864	10.63	11.846	10.41	11.8673	9.03	11.3115	16.32	16.5045
325	70	1973	1973	22.96	22.8933	21.51	20.67	19.77	18.7487	17.52	17.6246	15.55	16.7945	13.67	15.0228	13.78	14.0588	12.5	13.3011	11.54	12.4865	10.95	11.7882	10.08	11.8488	9.95	11.8739	8.55	11.3177	15.41	16.4954
326	70	1973.0833	1973	22.11	22.8847	20.32	20.6566	18.52	18.7311	16.73	17.6096	15.66	16.7848	14.26	15.021	13.46	14.048	12.55	13.2998	11.81	12.4822	10.83	11.7867	10.61	11.8533	9.79	11.8785	9.23	11.3223	15.09	16.4782
327	70	1973.167	1973	21.1	22.8701	18.94	20.6383	17.01	18.7066	16.14	17.5917	15.26	16.7618	14.15	15.0065	12.94	14.0335	12.52	13.2945	11.32	12.4703	10.47	11.7817	10.38	11.8534	9.85	11.8815	9.43	11.3229	14.75	16.4575
328	70	1973.25	1973	19.87	22.8488	17.6	20.6168	15.84	18.6815	15.46	17.5682	14.76	16.7293	13.25	14.9764	12.26	14.0171	11.97	13.2823	11.02	12.4599	10.55	11.7782	10.78	11.8532	10.77	11.8855	10.03	11.3207	14.1	16.4277
329	70	1973.3333	1973	19.95	22.835	17.94	20.6078	16.52	18.6737	15.97	17.5587	15.19	16.713	13.68	14.9627	12.67	14.0084	12.45	13.2764	11.42	12.4497	10.89	11.7736	12.24	11.8522	12.34	11.886	11.97	11.3178	15.23	16.4219
330	70	1973.417	1973	19.91	22.8087	18	20.5854	17.12	18.6602	16.72	17.5479	16.56	16.7075	14.43	14.9479	13.8	14.0002	12.78	13.2615	12.17	12.4402	11.39	11.7682	12.75	11.8459	13.33	11.8816	12.69	11.3081	16.86	16.4166
331	70	1973.5	1973	22.67	22.7858	20.2	20.5631	18.86	18.6445	18.05	17.5326	17.66	16.6893	15.34	14.9332	14.43	13.9865	13.9	13.2555	12.47	12.4252	12.31	11.7659	13.5	11.8396	14.32	11.879	13.36	11.2997	17.68	16.394
332	70	1973.5833	1973	25.05	22.7699	22.4	20.5479	20.14	18.6252	18.96	17.5144	18.53	16.6631	16.49	14.9205	14.86	13.9706	14.52	13.2452	12.62	12.4107	12.45	11.7609	13.24	11.8329	13.61	11.8741	13.17	11.2947	18.53	16.3763
333	70	1973.667	1973	23.58	22.7391	20.75	20.5096	19.27	18.5939	18.47	17.4931	17.87	16.6352	16.23	14.9002	15.38	13.9617	15.07	13.2394	14.2	12.4118	13.5	11.7654	12.91	11.8299	13.2	11.8755	13.62	11.2968	17.86	16.3563
334	70	1973.75	1973	23.58	22.7407	20.78	20.5096	19.01	18.5882	18.22	17.4912	17.92	16.6343	16.32	14.8957	14.77	13.9506	14.61	13.2345	14.87	12.4133	12.8	11.7665	13.08	11.8337	13.27	11.8845	12.6	11.3012	17.34	16.3507
335	70	1973.8333	1973	23.6	22.7572	20.75	20.5226	18.29	18.5924	17.37	17.4933	16.7	16.6313	14.79	14.8869	14.13	13.9486	13.55	13.2301	12.63	12.3961	12.24	11.7684	12.45	11.835	12.2	11.8905	10.63	11.302	16.1	16.3466
336	70	1973.917	1973	22.03	22.7625	19.49	20.5253	17.38	18.5973	16.21	17.4942	15.44	16.6279	13.91	14.8868	12.95	13.9419	12.74	13.2281	12.39	12.394	11.37	11.7709	11.12	11.8339	10.38	11.8922	9.54	11.3067	14.51	16.3388
337	70	1974	1974	20.46	22.7648	18.19	20.5284	16.64	18.6064	15.34	17.4981	14.43	16.6271	12.9	14.8849	11.91	13.9355	11.83	13.2214	10.94	12.3827	10.04	11.7712	9.88	11.8319	9.17	11.8948	7.6	11.3068	13.34	16.3321
338	70	1974.0833	1974	19.62	22.7663	17.5	20.5321	15.8	18.6073	15.06	17.5021	14.2	16.6257	12.66	14.884	11.59	13.9336	11.22	13.213	10.23	12.3737	9.93	11.7772	9.75	11.8319	9.11	11.9003	8.49	11.3152	13.69	16.3344
339	70	1974.167	1974	18.95	22.7699	17.12	20.5391	15.86	18.6182	15.47	17.512	14.59	16.634	13.04	14.8943	12.11	13.9424	11.38	13.2151	10.28	12.371	9.89	11.7852	9.57	11.832	9.22	11.9051	8.72	11.3206	13.88	16.3341
340	70	1974.25	1974	19.57	22.7828	16.89	20.5451	15.92	18.6257	15.65	17.5151	15.22	16.6399	13.37	14.9032	12.56	13.9509	11.65	13.221	10.96	12.3752	10.66	11.7986	10.45	11.835	9.7	11.9101	9.85	11.3265	14.23	16.3322
341	70	1974.3333	1974	19.04	22.7839	16.92	20.5497	16.36	18.632	15.77	17.5143	15.16	16.6328	13.45	14.9079	11.93	13.9449	11.75	13.2194	10.95	12.3696	11.35	11.8085	11.51	11.835	11.19	11.915	11.09	11.3266	14.85	16.3323
342	70	1974.417	1974	21.5	22.7984	18.5	20.5608	17.31	18.6395	16.74	17.521	16.37	16.642	15.08	14.9257	13.55	13.9554	12.59	13.2214	11.74	12.3689	11.3	11.8123	11.57	11.832	13.35	11.9222	12.82	11.3301	16.8	16.3453
343	70	1974.5	1974	24.06	22.7892	21.82	20.5666	19.81	18.6488	19.15	17.5339	18.49	16.6571	15.79	14.9269	15.03	13.9652	14.41	13.235	13.85	12.3759	13.78	11.8297	14.02	11.8383	14.92	11.9288	14.63	11.3354	18.53	16.3489
344	70	1974.5833	1974	25.6	22.7806	22.71	20.5549	20.31	18.6374	19.23	17.5181	18.83	16.6395	16.73	14.929	15.92	13.9672	14.8	13.2311	14.23	12.3694	13.82	11.8316	14.38	11.8401	14.96	11.9331	14.34	11.336	18.91	16.3373
345	70	1974.667	1974	27.28	22.7921	24.96	20.5718	22.24	18.6542	20.33	17.5296	19.32	16.6421	17.51	14.9378	15.86	13.9639	15.55	13.2364	15.13	12.3675	14.27	11.8347	14.53	11.8408	15.36	11.9411	15.38	11.3435	19	16.3384
346	70	1974.75	1974	26.49	22.7918	23.99	20.5722	21.41	18.6537	19.53	17.5297	18.47	16.6362	16.81	14.9346	15.84	13.9675	15.09	13.2381	13.69	12.3543	12.22	11.8285	12.1	11.8353	13.74	11.9433	12.62	11.3395	18.08	16.3361
347	70	1974.8333	1974	24.43	22.7846	22.34	20.5728	19.92	18.6551	18.4	17.534	17.25	16.639	15.32	14.9356	14.29	13.9644	13.7	13.2353	12.74	12.3486	12.35	11.836	11.87	11.8386	12.2	11.9466	11.39	11.3439	16.49	16.3342
348	70	1974.917	1974	22.55	22.7826	20.25	20.5706	18.02	18.6527	17	17.5365	15.9	16.6395	14.95	14.9495	13.48	13.9683	12.85	13.2377	11.7	12.3438	11.5	11.8414	11.29	11.8431	10.89	11.9498	10.54	11.3493	15.09	16.3356
349	70	1975	1975	20.74	22.7818	18.8	20.576	16.53	18.6569	15.93	17.5409	14.53	16.6363	13.15	14.9412	12.18	13.9661	11.68	13.2329	10.8	12.3403	10.35	11.8448	10.05	11.8437	9.77	11.9516	8.88	11.3478	13.57	16.3292
350	70	1975.0833	1975	19.6	22.781	17.74	20.5795	15.87	18.6646	15.05	17.5391	14.43	16.6401	13	14.9435	12.21	13.9734	11.47	13.235	10.49	12.3385	10.2	11.8522	9.63	11.845	9.18	11.953	8.51	11.3451	13.65	16.3327
351	70	1975.167	1975	19.19	22.7856	16.97	20.5857	15.81	18.6788	14.92	17.5441	14.34	16.6425	13.01	14.9507	12.18	13.9814	11.61	13.2415	10.87	12.3415	10.61	11.8628	9.84	11.8483	9.25	11.9553	8.7	11.3447	13.99	16.3396
352	70	1975.25	1975	18.41	22.7846	16.2	20.59	15.07	18.6819	14.82	17.5472	14.19	16.6394	13.08	14.9591	12.35	13.9918	11.27	13.244	10.41	12.3399	10.42	11.8696	9.81	11.8501	9.74	11.9583	9.23	11.3431	13.98	16.3379
353	70	1975.3333	1975	18.4	22.7883	16.49	20.6016	15.56	18.695	15.24	17.5558	14.99	16.6528	13.69	14.974	12.2	13.9959	11.37	13.2479	11	12.3415	11.01	11.8781	10.93	11.8533	11.28	11.961	11.38	11.3437	14.98	16.3481
354	70	1975.417	1975	19.24	22.7905	17.17	20.6083	16.76	18.713	16.05	17.5663	15.81	16.6631	14.38	14.9834	13.76	14.0105	12.91	13.2648	11.61	12.3425	11.03	11.8832	11.24	11.8556	12.18	11.9612	11.8	11.3368	15.66	16.3478
355	70	1975.5	1975	23.03	22.7997	20.38	20.6196	18.68	18.7241	17.54	17.5742	16.99	16.6714	15.45	14.9938	14.41	14.0163	13.83	13.2734	12.66	12.345	13.39	11.902	13.56	11.8669	14.35	11.9697	14.16	11.3423	16.54	16.3457
356	70	1975.5833	1975	25.23	22.8081	22.18	20.6261	19.93	18.7311	18.78	17.5844	18.19	16.6825	16.21	15.0011	15.72	14.0277	14.75	13.2826	12.98	12.3432	13.4	11.9069	13.77	11.8744	14.18	11.9742	13.85	11.3414	17.16	16.3485
357	70	1975.667	1975	26.86	22.828	24.08	20.6486	20.87	18.747	19.58	17.6032	18.62	16.7006	16.59	15.0138	15.17	14.0261	14.94	13.2892	14.18	12.3521	13.17	11.9128	13.15	11.8814	14.37	11.9835	13.78	11.3428	17.51	16.3676
358	70	1975.75	1975	26.04	22.8363	23.23	20.6602	20.35	18.7625	18.84	17.616	18	16.7165	16.23	15.0269	15.19	14.0374	14.82	13.3039	14.06	12.3581	13.76	11.929	13.7	11.8966	13.42	11.9923	12.3	11.3469	16.93	16.3873
359	70	1975.8333	1975	24.7	22.8451	22.25	20.6794	19.35	18.7849	17.46	17.6307	16.08	16.7276	14.21	15.0353	13.4	14.0409	13.06	13.307	11.82	12.3525	12.24	11.9329	12.28	11.9043	11.85	12	10.57	11.3518	15.25	16.4033
360	70	1975.917	1975	22.72	22.8511	20.87	20.6962	18.54	18.8117	16.65	17.6565	14.96	16.7562	13.31	15.0632	12.31	14.0536	11.91	13.3177	11.04	12.3605	10.83	11.9396	10.84	11.9123	10.16	12.0069	8.88	11.3573	13.7	16.4248
361	70	1976	1976	20.79	22.8579	19.56	20.7145	17.62	18.8386	15.76	17.6803	14.11	16.7898	13.11	15.1043	12.03	14.0758	11.16	13.3334	10.64	12.373	10.02	11.9519	9.85	11.9214	9.72	12.0178	8.24	11.3677	13.48	16.4615
362	70	1976.0833	1976	20.5	22.8734	19.22	20.7354	17.51	18.866	16.01	17.7107	14.73	16.8362	13.43	15.1433	12.59	14.1033	11.68	13.3614	10.68	12.3865	9.94	11.9686	9.6	11.9316	9.35	12.0267	7.91	11.374	14.36	16.5018
363	70	1976.167	1976	19.57	22.8822	18.07	20.7466	16.44	18.8802	15.61	17.7277	14.89	16.873	13.48	15.1781	12.22	14.1216	11.27	13.3779	10.62	12.3989	9.79	11.9867	9.13	11.9418	8.9	12.0333	7.7	11.3809	14.37	16.528
364	70	1976.25	1976	19.53	22.8962	17.77	20.7631	16.5	18.9032	15.74	17.7483	15.29	16.907	13.7	15.2128	12.12	14.1432	11.27	13.4022	10.63	12.4134	10.26	12.0102	9.74	11.9561	9.45	12.0436	8.99	11.3944	14.46	16.5507
365	70	1976.3333	1976	19.45	22.9093	17.62	20.7769	16.88	18.9245	16.21	17.7709	15.85	16.9422	13.98	15.2465	12.72	14.169	11.63	13.4277	10.42	12.4221	10.84	12.0337	10.74	11.9705	11.24	12.0552	11.29	11.4083	15.65	16.587
366	70	1976.417	1976	21.45	22.9305	19.07	20.7968	17.61	18.9443	17.2	17.796	16.96	16.9815	14.68	15.2803	13.5	14.191	13.16	13.4629	11.78	12.4425	11.83	12.0593	11.72	11.9872	12.58	12.0653	12.6	11.4176	17.36	16.6243
367	70	1976.5	1976	25.13	22.9446	21.73	20.8066	19.13	18.9578	18.76	17.8149	18.66	17.019	16.32	15.3239	15.57	14.2257	14.66	13.4972	12.87	12.4601	13.78	12.0903	14.53	12.0116	15.26	12.0834	14.16	11.4304	19.1	16.6542
368	70	1976.5833	1976	27.63	22.9539	23.94	20.8199	21.12	18.9816	19.14	17.8233	19.21	17.0376	17.89	15.3662	16.71	14.2497	16.32	13.5318	15.25	12.4865	14.8	12.1128	15.18	12.0298	14.88	12.0933	14.41	11.443	19.1	16.6642
369	70	1976.667	1976	27.42	22.9512	25.53	20.8409	23.32	19.0198	21.71	17.8757	20.44	17.084	17.98	15.3954	16.8	14.2668	16.01	13.5453	14.78	12.4934	13.78	12.1233	13.93	12.0406	14.8	12.1067	14.45	11.4552	20.02	16.7038
370	70	1976.75	1976	26.19	22.9507	25.1	20.857	23.4	19.0467	21.53	17.9039	20.48	17.1248	18.48	15.438	17.45	14.2947	15.82	13.57	14.52	12.5071	13.76	12.1439	13.27	12.057	13.94	12.1206	13.1	11.4691	19.96	16.7404
371	70	1976.8333	1976	25.3	22.9641	24.15	20.8755	22.81	19.0737	21.1	17.9342	19.67	17.1598	17.95	15.4782	16.63	14.3141	15.64	13.6019	14.4	12.5248	13.79	12.1641	13.75	12.0769	13.43	12.1369	11.56	11.4829	18.93	16.7699
372	70	1976.917	1976	23.67	22.9765	22.86	20.89	21.43	19.0883	19.73	17.9491	18.27	17.1793	17.27	15.5048	16.03	14.331	14.55	13.6165	13.3	12.5342	12.17	12.1745	11.74	12.0874	11.69	12.1453	9.8	11.4945	17.75	16.7942
373	70	1977	1977	22.35	22.991	20.9	20.8964	19.24	19.0906	18.02	17.9526	16.68	17.1838	15	15.4984	14.47	14.3318	13.35	13.6222	12.27	12.541	11.67	12.1888	11.15	12.0997	10.2	12.1514	8.65	11.5074	15.93	16.7981
374	70	1977.0833	1977	22.15	23.007	20.29	20.908	18.6	19.1007	16.99	17.9537	16.31	17.1904	14.94	15.5042	14.37	14.339	13.35	13.6338	12.31	12.5504	11.93	12.2026	11.21	12.1104	10.12	12.1604	9.35	11.5237	15.94	16.8113
375	70	1977.167	1977	21.22	23.0108	18.92	20.9097	17.31	19.1003	16.24	17.9529	15.37	17.1818	13.64	15.4922	12.85	14.3295	11.99	13.6249	11.49	12.5501	10.96	12.2054	10.5	12.1158	10.34	12.1675	9.06	11.5324	14.38	16.7994
376	70	1977.25	1977	20.5	23.0106	18.16	20.9138	16.51	19.1009	16.06	17.9563	15.39	17.1829	13.61	15.497	12.46	14.3317	11.66	13.6311	10.54	12.5498	10.01	12.2079	10.31	12.1211	10.32	12.1714	9.74	11.5426	15.08	16.8151
377	70	1977.3333	1977	20.1	23.0092	18.09	20.9205	16.99	19.1113	16.21	17.9616	15.87	17.1915	14.28	15.5134	13.01	14.3405	12.73	13.6505	11.9	12.5617	11.81	12.2249	12.33	12.1308	11.87	12.1763	11.11	11.5507	15.5	16.825
378	70	1977.417	1977	20.96	23.0076	18.98	20.9263	17.35	19.1161	16.99	17.9718	16.74	17.2026	15.17	15.5263	13.48	14.3423	13.24	13.656	11.99	12.5629	11.62	12.2296	12.17	12.1323	12.88	12.1784	12.55	11.5596	16.65	16.8392
379	70	1977.5	1977	24.05	23.0047	21.27	20.924	19.87	19.1302	19.01	17.9856	17.69	17.2056	15.84	15.5317	14.15	14.3467	13.9	13.6629	12.45	12.565	12.52	12.2415	12.87	12.1374	13.44	12.1814	13.47	11.5696	18.07	16.8519
380	70	1977.5833	1977	25.73	23.0016	23.33	20.9282	21.07	19.1328	19.93	17.9888	19.22	17.2211	17.28	15.5503	16.02	14.3654	16.11	13.69	14.82	12.5816	14.1	12.2586	12.83	12.1461	14.38	12.1928	14.23	11.5864	19.28	16.8686
381	70	1977.667	1977	26.8	23.0138	24.39	20.9378	22.21	19.1465	20.65	18.0029	19.8	17.2384	18.12	15.5691	17.02	14.3801	15.94	13.6927	14.18	12.5788	14.3	12.27	14.23	12.1639	14.15	12.2035	14.61	11.6029	19.82	16.8922
382	70	1977.75	1977	27.18	23.0327	24.88	20.9585	22.53	19.1654	20.3	18.016	19.4	17.2553	17.48	15.5749	16.04	14.3797	15.44	13.7003	13.84	12.5846	13.77	12.2807	13.62	12.1788	14.03	12.2188	14.14	11.6232	18.96	16.9073
383	70	1977.8333	1977	25.83	23.0433	23.84	20.9722	21.36	19.1777	19.1	18.0275	18.6	17.2778	15.7	15.5801	14.45	14.3816	13.84	13.7037	13.1	12.5924	12.28	12.2866	12.11	12.1897	11.9	12.2275	11.92	11.6345	18.12	16.9314
384	70	1977.917	1977	24.61	23.0557	22.88	20.986	21	19.1986	19.14	18.0567	17.27	17.2914	15.1	15.6039	14.34	14.4004	13.85	13.7262	12.62	12.6037	12.2	12.3036	11.24	12.2047	10.8	12.2398	10.12	11.6461	17.27	16.9552
385	70	1978	1978	22.83	23.0593	20.92	20.988	19.18	19.2004	17.83	18.0624	16.38	17.3028	15.36	15.6368	14.52	14.4188	13.73	13.7425	12.42	12.6153	11.84	12.3185	10.96	12.2214	10.41	12.2537	9.95	11.6636	16.01	16.962
386	70	1978.0833	1978	21.77	23.0598	19.82	20.9905	18.49	19.2054	17.17	18.0659	16.23	17.3117	15.21	15.6501	14.13	14.4253	13.65	13.7505	12.26	12.6225	12.08	12.332	11.56	12.2377	10.71	12.2674	9.65	11.6731	15.63	16.9665
387	70	1978.167	1978	20.99	23.0584	19.32	20.9975	18.06	19.2105	17.3	18.0733	15.84	17.31	15.38	15.6608	14.48	14.4352	13.74	13.7551	12.68	12.6302	12.04	12.3393	11.23	12.2476	10.95	12.2767	9.5	11.6794	15.94	16.9775
388	70	1978.25	1978	19.89	23.0518	18.33	20.9959	17.39	19.2071	16.68	18.0658	16.25	17.3145	15.49	15.6632	14.12	14.4354	13.63	13.7549	12.47	12.6318	12.02	12.3422	11.38	12.2553	11.03	12.2822	9.74	11.6845	16.33	16.9835
389	70	1978.3333	1978	20.09	23.0563	18.51	21.0011	17.64	19.2082	17.08	18.0679	16.97	17.3203	15.28	15.6539	13.59	14.4276	13.17	13.741	12.09	12.6241	11.69	12.3384	12.2	12.2613	12.4	12.2869	11.23	11.6913	16.91	16.9867
390	70	1978.417	1978	21.84	23.0646	19.36	21.0031	18.52	19.211	17.79	18.0693	17.12	17.3094	15.21	15.6374	14.87	14.4296	14	13.7344	12.61	12.6207	13.02	12.34	14.33	12.2696	14.98	12.2947	14.7	11.7075	17.23	16.9782
391	70	1978.5	1978	25.32	23.0635	22.78	21.0078	20.25	19.2065	18.92	18.0623	17.51	17.291	16.51	15.6336	14.85	14.4172	14.29	13.7192	13.51	12.6171	12.57	12.3312	13.48	12.2663	13.97	12.2878	13.88	11.7029	18.06	16.9703
392	70	1978.5833	1978	26.62	23.0473	23.91	20.9954	21.3	19.1962	20.59	18.0661	18.9	17.2937	16.9	15.6211	16.04	14.4167	15.53	13.7162	14.14	12.611	13.33	12.3301	14.3	12.2718	14.41	12.2928	13.6	11.7075	19.3	16.9756
393	70	1978.667	1978	25.63	23.029	23.35	20.9802	21.01	19.1831	19.85	18.0516	19.22	17.2987	17.4	15.6197	15.79	14.408	15.81	13.708	14.76	12.6077	14.98	12.338	15.61	12.2805	15.6	12.305	15.19	11.7245	18.95	16.9758
394	70	1978.75	1978	26.51	23.0427	24.36	20.9991	22.26	19.2036	20.11	18.0642	19.72	17.3237	17.36	15.623	16.16	14.4129	15.49	13.702	13.81	12.5989	14.23	12.3351	14.23	12.2811	15.5	12.314	14.3	11.7366	19.22	16.9973
395	70	1978.8333	1978	25.05	23.0438	22.46	20.9977	20.11	19.1954	19.02	18.0685	17.96	17.3225	16.35	15.6255	14.84	14.4088	13.46	13.6833	11.78	12.5868	12.48	12.3242	12.1	12.2763	11.7	12.3069	11.12	11.7366	17.68	17.0015
396	70	1978.917	1978	22.08	23.0324	20.27	20.9938	17.97	19.1884	16.58	18.0561	16.09	17.3214	13.67	15.6059	13.01	14.4006	11.97	13.6716	10.9	12.5874	10.29	12.3147	10.09	12.2746	9.99	12.308	9.75	11.7451	15.53	16.9979
397	70	1979	1979	20.98	23.0372	18.85	20.9995	17.27	19.2003	16.01	18.0672	15.59	17.3359	13.77	15.6226	12.95	14.4083	12.12	13.68	10.97	12.5966	10.19	12.3211	9.61	12.2801	8.96	12.3122	8.38	11.7522	14.83	17.0065
398	70	1979.0833	1979	19.45	23.0344	17.77	21.0034	16.5	19.2056	15.42	18.0717	14.74	17.3358	13.09	15.6254	12.3	14.4087	11.77	13.6791	10.58	12.601	10.12	12.3303	9.52	12.2878	8.53	12.3187	7.08	11.756	14.58	17.0104
399	70	1979.167	1979	19.14	23.0412	17.4	21.0151	16.2	19.2157	15.73	18.0847	15.19	17.3534	13.87	15.6485	12.83	14.4205	12.16	13.6861	11.21	12.6123	10.61	12.3439	9.91	12.2983	9.86	12.3316	8.53	11.7742	15.28	17.0257
400	70	1979.25	1979	18.81	23.048	17.39	21.029	16.7	19.2323	16.15	18.0969	15.81	17.3705	14.09	15.6644	12.84	14.4291	12.13	13.6909	11.39	12.6219	10.94	12.3575	10.63	12.31	10.44	12.3407	9.93	11.7917	15.62	17.031
